ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-4.192383:3.265137:-28.79736	-1.533691:3.823242:-26.96484	1.155762:2.29834:-31.06934	0.8701172:8.112305:-12.2915	0.166578:14.89664:-37.82444	Start	Default	
-4.192383:3.265137:-28.79736	-1.533691:3.823242:-26.96484	1.155762:2.29834:-31.06934	0.8701172:8.112305:-12.2915	0.1630117:14.89698:-37.8243	Start	Default	
-4.192383:3.265137:-28.79736	-1.533691:3.823242:-26.96484	1.155762:2.29834:-31.06934	0.8701172:8.112305:-12.2915	0.1787838:14.88302:-37.77693	Start	Bottle	
-4.166016:3.414551:-28.82813	-1.507324:3.862793:-26.99121	1.155762:2.289551:-31.06934	0.8701172:8.112305:-12.2915	0.1837687:14.89503:-37.82368	Start	Bottle	
-4.166016:3.414551:-28.82813	-1.507324:3.862793:-26.99121	1.155762:2.289551:-31.06934	0.8701172:8.112305:-12.2915	0.1854684:14.89493:-37.82343	Start	Bottle	
-4.166016:3.414551:-28.82813	-1.507324:3.862793:-26.99121	1.155762:2.289551:-31.06934	0.8701172:8.112305:-12.2915	0.1851345:14.89476:-37.82298	Start	Bottle	
-4.166016:3.414551:-28.82813	-1.507324:3.862793:-26.99121	1.155762:2.289551:-31.06934	0.8701172:8.112305:-12.2915	0.1683949:14.88722:-37.78997	Start	Default	
-4.201172:3.47168:-28.82813	-1.489746:3.823242:-27.01758	1.160156:2.276367:-31.06934	0.8701172:8.112305:-12.2915	0.1566407:14.89632:-37.82298	Start	Default	
-4.201172:3.47168:-28.82813	-1.489746:3.823242:-27.01758	1.160156:2.276367:-31.06934	0.8701172:8.112305:-12.2915	0.153831:14.89268:-37.80743	Start	Default	
-4.201172:3.47168:-28.82813	-1.489746:3.823242:-27.01758	1.160156:2.276367:-31.06934	0.8701172:8.112305:-12.2915	0.150409:14.89684:-37.82261	Start	Default	
-4.205566:3.515625:-28.81934	-1.498535:3.774902:-27.06592	1.164551:2.258789:-31.06934	0.8701172:8.112305:-12.2915	0.150259:14.89697:-37.82262	Start	Default	
-4.205566:3.515625:-28.81934	-1.498535:3.774902:-27.06592	1.164551:2.258789:-31.06934	0.8701172:8.112305:-12.2915	0.1522046:14.89428:-37.81197	Start	Default	
-4.205566:3.515625:-28.81934	-1.498535:3.774902:-27.06592	1.164551:2.258789:-31.06934	0.8701172:8.112305:-12.2915	0.1836917:14.89507:-37.82115	Start	Bottle	
-4.192383:3.546387:-28.81934	-1.472168:3.717773:-27.10107	1.164551:2.25:-31.06494	0.8701172:8.112305:-12.2915	0.1841315:14.89502:-37.82113	Start	Bottle	
-4.192383:3.546387:-28.81934	-1.472168:3.717773:-27.10107	1.164551:2.25:-31.06494	0.8701172:8.112305:-12.2915	0.1832439:14.89519:-37.82104	Start	Bottle	
-4.192383:3.546387:-28.81934	-1.472168:3.717773:-27.10107	1.164551:2.25:-31.06494	0.8701172:8.112305:-12.2915	0.1807481:14.89508:-37.82068	Start	Bottle	
-4.152832:3.528809:-28.83691	-1.516113:3.651855:-27.08789	1.168945:2.241211:-31.06934	0.8701172:8.112305:-12.2915	0.1834009:14.82764:-37.56501	Start	Bottle	
-4.152832:3.528809:-28.83691	-1.516113:3.651855:-27.08789	1.168945:2.241211:-31.06934	0.8701172:8.112305:-12.2915	0.1851519:14.89496:-37.81995	Start	Bottle	
-4.152832:3.528809:-28.83691	-1.516113:3.651855:-27.08789	1.168945:2.241211:-31.06934	0.8701172:8.112305:-12.2915	0.1893503:14.83956:-37.61116	Start	Bottle	
-4.139648:3.577148:-28.85449	-1.498535:3.722168:-27.03516	1.195313:2.263184:-31.06934	0.8701172:8.112305:-12.2915	0.2224804:14.47834:-36.25639	Start	Bottle	
-4.139648:3.577148:-28.85449	-1.498535:3.722168:-27.03516	1.195313:2.263184:-31.06934	0.8701172:8.112305:-12.2915	0.1866836:14.88649:-37.77937	Start	Default	
-4.139648:3.577148:-28.85449	-1.498535:3.722168:-27.03516	1.195313:2.263184:-31.06934	0.8701172:8.112305:-12.2915	0.1854407:14.89551:-37.81911	Start	Default	
-4.139648:3.577148:-28.85449	-1.498535:3.722168:-27.03516	1.195313:2.263184:-31.06934	0.8701172:8.112305:-12.2915	0.1918506:14.79499:-37.44387	Start	Bottle	
-3.836426:4.209961:-28.88525	-1.507324:3.823242:-26.93408	1.371094:2.632324:-30.92432	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.836426:4.209961:-28.88525	-1.507324:3.823242:-26.93408	1.371094:2.632324:-30.92432	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.836426:4.209961:-28.88525	-1.507324:3.823242:-26.93408	1.371094:2.632324:-30.92432	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.60791:4.702148:-28.59521	-1.344727:4.157227:-26.56055	1.498535:3.357422:-30.51123	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.60791:4.702148:-28.59521	-1.344727:4.157227:-26.56055	1.498535:3.357422:-30.51123	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.60791:4.702148:-28.59521	-1.344727:4.157227:-26.56055	1.498535:3.357422:-30.51123	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.60791:4.702148:-28.59521	-1.344727:4.157227:-26.56055	1.498535:3.357422:-30.51123	0.8701172:8.112305:-12.2915	0.1313599:14.76362:-37.45499	Start	Bottle	
-3.60791:4.702148:-28.59521	-1.344727:4.157227:-26.56055	1.498535:3.357422:-30.51123	0.8701172:8.112305:-12.2915	0.1404276:14.5902:-37.55522	Start	Default	
-3.295898:5.387695:-27.78662	-1.050293:4.649414:-25.82666	1.661133:4.293457:-29.78174	0.8701172:8.112305:-12.2915	0.1273094:14.74067:-37.45936	Start	Bottle	
-3.295898:5.387695:-27.78662	-1.050293:4.649414:-25.82666	1.661133:4.293457:-29.78174	0.8701172:8.112305:-12.2915	0.1408614:14.74451:-37.45726	Start	Bottle	
-3.295898:5.387695:-27.78662	-1.050293:4.649414:-25.82666	1.661133:4.293457:-29.78174	0.8701172:8.112305:-12.2915	0.192859:14.74255:-37.46752	Start	Bottle	
-2.895996:5.787598:-26.70557	-0.5229492:5.11084:-24.60059	1.959961:5.141602:-28.72266	0.8701172:8.112305:-12.2915	0.1259612:14.89519:-37.8137	Start	Bottle	
-2.895996:5.787598:-26.70557	-0.5229492:5.11084:-24.60059	1.959961:5.141602:-28.72266	0.8701172:8.112305:-12.2915	0.1914025:14.71866:-37.32306	Start	Bottle	
-2.895996:5.787598:-26.70557	-0.5229492:5.11084:-24.60059	1.959961:5.141602:-28.72266	0.8701172:8.112305:-12.2915	0.1816957:14.74839:-37.35027	Start	Bottle	
-2.895996:5.787598:-26.70557	-0.5229492:5.11084:-24.60059	1.959961:5.141602:-28.72266	0.8701172:8.112305:-12.2915	0.2182304:14.53416:-36.70105	Start	Bottle	
-2.452148:6.240234:-25.41797	0.1098633:5.541504:-23.13281	2.25:5.686523:-27.43506	0.8701172:8.112305:-12.2915	0.207301:14.66538:-37.10756	ReachForBottle	Default	
-2.452148:6.240234:-25.41797	0.1098633:5.541504:-23.13281	2.25:5.686523:-27.43506	0.8701172:8.112305:-12.2915	0.2930979:13.6859:-34.20856	ReachForBottle	Bottle	
-2.452148:6.240234:-25.41797	0.1098633:5.541504:-23.13281	2.25:5.686523:-27.43506	0.8701172:8.112305:-12.2915	0.2060287:14.442:-36.46513	ReachForBottle	Bottle	
-2.452148:6.240234:-25.41797	0.1098633:5.541504:-23.13281	2.25:5.686523:-27.43506	0.8701172:8.112305:-12.2915	0.2059853:14.47121:-36.40256	ReachForBottle	Bottle	
-2.109375:6.42041:-23.84033	0.6416016:5.980957:-21.6167	2.478516:6.04248:-26.08154	0.8701172:8.112305:-12.2915	0.2401541:14.1792:-35.51506	ReachForBottle	Bottle	
-2.109375:6.42041:-23.84033	0.6416016:5.980957:-21.6167	2.478516:6.04248:-26.08154	0.8701172:8.112305:-12.2915	0.1857744:14.64471:-37.04838	ReachForBottle	Bottle	
-2.109375:6.42041:-23.84033	0.6416016:5.980957:-21.6167	2.478516:6.04248:-26.08154	0.8701172:8.112305:-12.2915	0.1878394:14.62998:-36.99236	ReachForBottle	Bottle	
-1.757813:6.508301:-22.24512	1.116211:6.402832:-20.04785	2.62793:6.183105:-24.61377	0.8701172:8.112305:-12.2915	0.2237378:14.3568:-36.06144	ReachForBottle	Bottle	
-1.757813:6.508301:-22.24512	1.116211:6.402832:-20.04785	2.62793:6.183105:-24.61377	0.8701172:8.112305:-12.2915	0.2015623:14.70025:-37.18244	ReachForBottle	Default	
-1.757813:6.508301:-22.24512	1.116211:6.402832:-20.04785	2.62793:6.183105:-24.61377	0.8701172:8.112305:-12.2915	0.2027427:14.6374:-36.97674	ReachForBottle	Bottle	
-1.757813:6.508301:-22.24512	1.116211:6.402832:-20.04785	2.62793:6.183105:-24.61377	0.8701172:8.112305:-12.2915	0.1807905:14.72223:-37.20215	ReachForBottle	Bottle	
-1.450195:6.389648:-20.53125	1.573242:6.569824:-18.42188	2.689453:6.143555:-23.20752	0.8701172:8.112305:-12.2915	0.1757336:14.74909:-37.33451	ReachForBottle	Bottle	
-1.450195:6.389648:-20.53125	1.573242:6.569824:-18.42188	2.689453:6.143555:-23.20752	0.8701172:8.112305:-12.2915	0.1905866:14.63729:-36.9981	ReachForBottle	Bottle	
-1.450195:6.389648:-20.53125	1.573242:6.569824:-18.42188	2.689453:6.143555:-23.20752	0.8701172:8.112305:-12.2915	0.2176158:14.44559:-36.51232	ReachForBottle	Bottle	
-1.450195:6.389648:-20.53125	1.573242:6.569824:-18.42188	2.689453:6.143555:-23.20752	0.8701172:8.112305:-12.2915	0.2751771:13.90031:-34.79691	ReachForBottle	Bottle	
-1.190918:6.249023:-19.07227	1.911621:6.499512:-17.1123	2.71582:5.976563:-21.86279	0.8701172:8.112305:-12.2915	0.1872977:14.71903:-37.26906	ReachForBottle	Bottle	
