ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	RightEyePosition	Annotations	
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
0,0,0,	0,0,0,	0,0,0,	0,0,0,	0,0,0,		
