ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	RightEyePosition	Annotations	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
-1.71,3.07618,-13.19,	-1.71,3.07618,-13.19,	-1.56,3,-13.34,	-1.58,3.12,-13.21592,	5.78486,0.07961912,0.7361618,	noch leer	
